TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-01-23,2026-01-23,CM,NSE,STK,12686,INE900L01010,MBAPL,EQ,,,,,MADHYA BHARAT AGRO P. LTD,409.0,416.65,401.1,408.25,408.85,411.1,,408.25,,,110360,45375047.3,2436,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,4911,INE414A01015,MADRASFERT,EQ,,,,,MADRAS FERTILISERS LTD,76.0,76.29,73.0,73.36,73.5,75.2,,73.36,,,57317,4262127.14,1212,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,21392,INE347W01011,MAGADSUGAR,EQ,,,,,MAGADH SUGAR & ENERGY LTD,439.15,443.9,420.0,427.05,420.0,443.1,,427.1,,,3813,1640926.3,321,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,29482,INE613C01026,MCLOUD,EQ,,,,,MAGELLANIC CLOUD LIMITED,22.9,23.42,22.4,22.61,22.8,22.31,,22.61,,,1890787,43355687.67,4952,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,14957,INE387I01016,MAGNUM,EQ,,,,,MAGNUM VENTURES LTD.,21.0,21.0,19.97,20.17,20.33,21.03,,20.17,,,37379,753564.19,227,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,5239,INE843B01013,MAHAPEXLTD,EQ,,,,,MAHA RASHTRA APEX COPR. L,99.99,99.99,90.15,94.72,94.95,96.64,,94.7,,,10585,969191.45,206,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,24937,INE0US801024,MFML,EQ,,,,,MAHALAXMI FABRIC MILLS LT,24.94,24.94,22.55,23.36,23.47,22.92,,23.39,,,1062,25149.06,45,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,7886,INE112D01035,MHLXMIRU,EQ,,,,,MAHALAXMI RUBTECH LIMITED,194.01,200.0,194.0,196.76,197.0,196.11,,196.5,,,552,108662.6,40,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,17534,INE002S01010,MGL,EQ,,,,,MAHANAGAR GAS LTD.,1113.5,1113.9,1073.1,1077.0,1078.0,1116.1,,1077.1,,,117812,127658873.9,9356,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,2294,INE153A01019,MTNL,EQ,,,,,MAHANAGAR TELEPHONE NIGAM,30.15,30.43,28.65,28.85,28.94,30.32,,28.86,,,1514985,44531066.12,7327,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,2085,INE288A01013,MAHSCOOTER,EQ,,,,,MAHARASHTRA SCOOTERS LTD,13448.0,13449.0,13050.0,13101.0,13100.0,13334.0,,13101.1,,,2500,33157728.0,1445,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,2088,INE271B01025,MAHSEAMLES,EQ,,,,,MAHARASHTRA SEAMLESS LTD,515.0,521.0,507.35,508.55,509.95,517.55,,508.55,,,95397,49019194.2,7175,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,9576,INE263W01010,MAHESHWARI,EQ,,,,,MAHESHWARI LOGISTICS LTD.,44.9,45.91,43.11,43.64,43.5,44.02,,43.64,,,12744,569760.27,146,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,2031,INE101A01026,M&M,EQ,,,,,MAHINDRA & MAHINDRA LTD,3573.7,3596.0,3534.8,3543.4,3555.0,3573.7,,3543.4,,,1922549,6846214915.6,97459,F1,1,,,,,
